,Epsilon,Q,Training return,network loss
0,0.99731,0.0,-21.0,0.0
1,0.99477,0.0,-21.0,0.0
2,0.9922,0.0,-21.0,0.0
3,0.98968,0.0,-21.0,0.0
4,0.9869,0.0,-21.0,0.0
5,0.98438,0.0,-21.0,0.0
6,0.98109,0.0,-19.0,0.0
7,0.97856,0.0,-21.0,0.0
8,0.97572,0.0,-21.0,0.0
9,0.97291,0.0,-21.0,0.0
10,0.9704,0.0,-21.0,0.0
11,0.9678599999999999,0.0,-21.0,0.0
12,0.96533,0.0,-21.0,0.0
13,0.96217,0.0,-21.0,0.0
14,0.95927,0.0,-21.0,0.0
15,0.95612,0.0,-19.0,0.0
16,0.9536,0.0,-21.0,0.0
17,0.95104,0.0,-21.0,0.0
18,0.94851,0.0,-21.0,0.0
19,0.946,0.0,-21.0,0.0
20,0.94348,0.0,-21.0,0.0
21,0.9406,0.0,-20.0,0.0
22,0.93758,0.0,-20.0,0.0
23,0.93506,0.0,-21.0,0.0
24,0.93251,0.0,-21.0,0.0
25,0.92994,0.0,-21.0,0.0
26,0.92721,0.0,-21.0,0.0
27,0.92449,0.0,-21.0,0.0
28,0.92196,0.0,-21.0,0.0
29,0.91902,0.0,-21.0,0.0
30,0.91604,0.0,-20.0,0.0
31,0.91354,0.0,-21.0,0.0
32,0.90999,0.0,-20.0,0.0
33,0.90729,0.0,-21.0,0.0
34,0.9041,0.0,-21.0,0.0
35,0.90053,0.0,-20.0,0.0
