,Explained variance,KL,Q estimate,Training return,entropy,episode length,max return,mean return,mean value,min return,policy grad norm,policy loss,std return,value grad norm,value loss
0,-0.9186043997417352,-0.02040722966194153,14.198738098144531,27.0,17.856252670288086,27.0,32.0,26.0,-0.1987374871969223,18.0,48.56533232147628,255.14010620117188,3.8407536876098796,34.21840500647687,250.84896850585938
1,-0.9820638503554799,-0.09378039836883545,8.697195053100586,16.0,17.179338455200195,16.0,46.0,25.5,-0.19719451665878296,15.0,45.913551209779854,273.4313659667969,7.8762403441173525,33.146188749030635,267.86956787109375
2,-0.989078287392598,0.07398596405982971,19.71877670288086,38.0,23.379703521728516,38.0,54.0,28.333333333333332,-0.21877793967723846,17.0,60.94193601454558,467.5863342285156,10.094701154651288,43.59305610840904,458.55291748046875
3,-0.9910006814962866,-0.07540863752365112,8.184837341308594,15.0,11.119819641113281,15.0,28.0,25.3,-0.18483805656433105,11.0,23.831776876938896,113.04117584228516,10.54897487975224,21.783112208491342,111.36027526855469
4,-0.9910075296104527,-0.07581740617752075,16.166324615478516,31.0,13.215726852416992,31.0,31.0,24.08,-0.16632279753684998,12.0,7.630985003967768,159.12060546875,10.357082739092402,25.335964224401998,158.1536102294922
5,-0.991023757337507,8.827447891235352e-05,17.177099227905273,33.0,16.677072525024414,33.0,37.0,24.1,-0.1770980954170227,10.0,16.895878242978238,254.91250610351562,10.447369295567011,31.25940503022653,252.74081420898438
6,-0.9900394154949352,-0.10173830389976501,15.145822525024414,29.0,15.42253589630127,29.0,29.0,23.857142857142858,-0.14582213759422302,18.0,20.200282774179367,192.66201782226562,9.867417260557186,28.972274151379967,190.74362182617188
7,-0.9891417756602793,-0.0020613372325897217,8.670696258544922,16.0,14.365232467651367,16.0,25.0,23.475,-0.17069609463214874,16.0,21.254320723742627,160.37071228027344,9.36071956369834,27.14648983055076,162.00332641601562
8,-0.9895777400034215,0.006006032228469849,11.156380653381348,21.0,13.3981294631958,21.0,36.0,23.022222222222222,-0.1563805490732193,9.0,20.139091992194672,166.87002563476562,9.437317650763848,25.452546568601193,167.74734497070312
9,-0.9913700886903047,-0.030800282955169678,17.141620635986328,33.0,22.747060775756836,33.0,61.0,24.02,-0.14161816239356995,13.0,30.277424472723435,484.47015380859375,10.80145820699272,41.24033394278235,478.38189697265625
10,-0.9921340702008652,-0.06467333436012268,6.606783390045166,12.0,8.664548873901367,12.0,19.0,22.98181818181818,-0.10678404569625854,9.0,6.3777971629082435,64.81166076660156,10.847061511225348,16.700226287626386,64.93953704833984
11,-0.992256549442404,0.03143933415412903,6.645275115966797,12.0,15.405743598937988,12.0,45.0,22.933333333333334,-0.1452750563621521,12.0,38.59795764078109,236.86050415039062,10.955347154535815,28.94404984346108,230.83895874023438
12,-0.9923930212598786,0.013500332832336426,7.133150577545166,13.0,11.448766708374023,13.0,28.0,22.446153846153845,-0.13315054774284363,8.0,14.613469422808517,116.16755676269531,10.816620427031925,21.853326668968933,117.31437683105469
13,-0.9931807033670078,-0.06961497664451599,6.070602893829346,11.0,23.912158966064453,11.0,70.0,23.32857142857143,-0.07060298323631287,11.0,74.22625578443433,563.8792724609375,12.049073721523982,42.940764421976596,550.2488403320312
14,-0.9934824407229179,-0.05933132767677307,6.0583271980285645,11.0,12.360949516296387,11.0,41.0,22.973333333333333,-0.05832744017243385,10.0,34.86889993298763,168.76223754882812,12.091859931769246,23.021868938077546,164.30604553222656
